,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,sla,dbh
afr01_l01,afr01,dry,16.275,0.350,0.101,0.186,287.1428571,161.9402985,7.8
afr01_l02,afr01,dry,16.365,0.380,0.103,0.219,270.5263158,159.192607,7.8
afr01_l03,afr01,dry,14.859,0.350,0.096,0.212,274.2857143,154.78125,7.8
afr01_l04,afr01,dry,12.530,0.330,0.106,0.242,320.6060606,118.4310019,7.8
afr01_l05,afr01,dry,23.180,0.530,0.149,0.200,281.6981132,155.2578701,7.8
bbr01_l01,bbr01,wet,65.574,2.180,0.810,0.321,371.5137615,80.9655513,9.5
bbr01_l02,bbr01,wet,68.255,2.340,0.842,0.342,359.6581197,81.10147338,9.5
bbr01_l03,bbr01,wet,111.816,3.470,1.106,0.329,318.7608069,101.0903173,9.5
bbr01_l04,bbr01,wet,115.520,3.850,1.349,0.350,350.4155844,85.62745534,9.5
bbr01_l05,bbr01,wet,77.201,2.630,0.911,0.323,346.2357414,84.78036459,9.5
gax01_l01,gax01,wet,25.680,0.910,0.227,0.348,249.3406593,113.1776113,8.4
gax01_l02,gax01,wet,40.677,1.390,0.327,0.382,234.9640288,124.5468463,8.4
gax01_l03,gax01,wet,39.442,1.470,0.436,0.404,296.5306122,90.48405598,8.4
gax01_l04,gax01,wet,26.588,0.990,0.269,0.379,271.2121212,99.02420857,8.4
gax01_l05,gax01,wet,41.645,1.380,0.280,0.451,202.826087,148.7852805,8.4
gax02_l01,gax02,wet,25.071,0.850,0.229,0.379,269.2941176,109.5281782,6.8
gax02_l02,gax02,wet,35.714,1.030,0.226,0.350,219.1262136,158.2365973,6.8
gax02_l03,gax02,wet,30.319,0.990,0.266,0.357,268.5858586,114.0240692,6.8
gax02_l04,gax02,wet,28.841,0.900,0.234,0.331,260.4444444,123.0418089,6.8
gax02_l05,gax02,wet,33.442,1.040,0.230,0.341,221.0576923,145.4632449,6.8
gax03_l01,gax03,wet,34.761,1.240,0.339,0.403,273.2258065,102.6003542,8.4
gax03_l02,gax03,wet,38.561,1.390,0.351,0.419,252.8057554,109.7353443,8.4
gax03_l03,gax03,wet,38.845,1.250,0.299,0.358,238.88,130.090422,8.4
gax03_l04,gax03,wet,32.266,1.120,0.300,0.437,267.7678571,107.5891964,8.4
gax03_l05,gax03,wet,30.189,1.000,0.267,0.377,267.4,112.8982797,8.4
gax04_l01,gax04,dry,89.651,3.140,1.026,0.341,326.8789809,87.34508963,12.8
gax04_l02,gax04,dry,117.452,3.630,1.067,0.340,294.0495868,110.0356005,12.8
gax04_l03,gax04,dry,81.348,2.760,0.904,0.388,327.5,89.99668105,12.8
gax04_l04,gax04,dry,68.209,2.360,0.676,0.312,286.3983051,100.9158159,12.8
gax04_l05,gax04,dry,94.618,2.890,0.828,0.345,286.5743945,114.2453514,12.8
gax05_l01,gax05,wet,64.569,2.380,0.713,0.459,299.5798319,90.55960729,8.6
gax05_l02,gax05,wet,28.788,0.950,0.245,0.384,257.6842105,117.5980392,8.6
gax05_l03,gax05,wet,41.628,1.440,0.400,0.362,277.8472222,104.043989,8.6
gax05_l04,gax05,wet,51.985,1.950,0.559,0.427,286.4102564,93.07967771,8.6
gax05_l05,gax05,wet,33.195,1.130,0.284,0.398,251.5044248,116.8015482,8.6
mba01_l01,mba01,dry,356.912,6.360,2.310,0.215,363.2075472,154.5073593,8.8
mba01_l02,mba01,dry,394.586,7.870,2.990,0.257,379.9237611,131.9685619,8.8
mba01_l03,mba01,dry,410.044,8.570,3.600,0.236,420.0700117,113.9011111,8.8
mba01_l04,mba01,dry,331.446,5.530,2.000,0.177,361.6636528,165.723,8.8
mba01_l05,mba01,dry,262.321,6.060,2.510,0.261,414.1914191,104.5103586,8.8
mgi01_l01,mgi01,dry,891.591,16.450,5.950,0.394,361.7021277,149.8472269,51.1
mgi01_l02,mgi01,dry,854.254,18.210,6.920,0.356,380.010983,123.4471098,51.1
mgi01_l03,mgi01,dry,1024.842,23.700,8.970,0.351,378.4810127,114.2521739,51.1
mgi01_l04,mgi01,dry,804.536,18.430,6.720,0.366,364.6228974,119.722619,51.1
mgi01_l05,mgi01,dry,840.481,18.510,6.620,0.317,357.6445165,126.9608761,51.1
mgi02_l01,mgi02,dry,2744.756,50.580,23.960,0.361,473.7050217,114.5557596,21.1
mgi02_l02,mgi02,dry,2215.778,41.330,18.320,0.329,443.2615534,120.9485808,21.1
mgi02_l03,mgi02,dry,3337.838,53.620,28.030,0.340,522.7527042,119.0809133,21.1
mgi02_l04,mgi02,dry,2324.926,32.340,17.940,0.292,554.7309833,129.5945373,21.1
mgi02_l05,mgi02,dry,2320.072,33.670,21.550,0.298,640.03564,107.6599536,21.1
mre01_l01,mre01,wet,382.594,9.920,3.960,0.274,399.1935484,96.61464646,6.9
mre01_l02,mre01,wet,369.280,9.100,3.770,0.251,414.2857143,97.95225464,6.9
mre01_l03,mre01,wet,417.454,10.830,4.320,0.228,398.8919668,96.63287037,6.9
mre01_l04,mre01,wet,316.888,10.010,4.460,0.273,445.5544456,71.05112108,6.9
mre01_l05,mre01,wet,437.126,13.310,5.510,0.273,413.9744553,79.33321234,6.9
mre02_l01,mre02,wet,797.370,22.080,8.170,0.252,370.0181159,97.59730722,5.1
mre02_l02,mre02,wet,984.592,24.180,8.530,0.233,352.770885,115.4269637,5.1
mre02_l03,mre02,wet,609.393,17.510,7.760,0.274,443.1753284,78.53002577,5.1
mre02_l04,mre02,wet,1001.605,26.290,10.090,0.260,383.7961202,99.26709613,5.1
mre02_l05,mre02,wet,631.880,19.160,7.350,0.276,383.611691,85.97006803,5.1
mre03_l01,mre03,wet,473.700,14.300,6.170,0.269,431.4685315,76.77471637,16
mre03_l02,mre03,wet,503.798,14.530,5.680,0.256,390.9153476,88.69683099,16
mre03_l03,mre03,wet,384.233,11.700,5.290,0.281,452.1367521,72.63383743,16
mre03_l04,mre03,wet,497.732,14.520,5.970,0.270,411.1570248,83.3721943,16
mre03_l05,mre03,wet,306.285,8.700,3.560,0.268,409.1954023,86.03511236,16
pax01_l01,pax01,wet,70.836,1.950,0.504,0.325,258.3589744,140.6034141,21.9
pax01_l02,pax01,wet,66.528,1.860,0.479,0.342,257.5806452,138.8603632,21.9
pax01_l03,pax01,wet,80.343,2.440,0.665,0.355,272.4180328,120.8710697,21.9
pax01_l04,pax01,wet,58.207,1.800,0.471,0.338,261.6111111,123.6079847,21.9
pax01_l05,pax01,wet,81.299,2.210,0.576,0.310,260.678733,141.1195973,21.9
pax02_l01,pax02,wet,57.583,1.740,0.517,0.329,297.1264368,111.3791103,18.1
pax02_l02,pax02,wet,36.665,1.110,0.305,0.314,274.4144144,120.3709783,18.1
pax02_l03,pax02,wet,73.442,2.380,0.692,0.350,290.6722689,106.1607401,18.1
pax02_l04,pax02,wet,84.042,2.500,0.657,0.342,262.68,127.9762449,18.1
pax02_l05,pax02,wet,46.788,1.440,0.436,0.304,302.5,107.4104683,18.1
pax03_l01,pax03,wet,94.945,2.460,0.729,0.276,296.3821138,130.2221917,7.9
pax03_l02,pax03,wet,65.995,2.020,0.587,0.351,290.7920792,112.3510385,7.9
pax03_l03,pax03,wet,73.575,2.140,0.659,0.305,307.8971963,111.6633784,7.9
pax03_l04,pax03,wet,78.417,2.230,0.623,0.312,279.3273543,125.890191,7.9
pax03_l05,pax03,wet,75.228,2.010,0.585,0.308,290.9950249,128.6168576,7.9
pax04_l01,pax04,dry,81.098,2.610,0.710,0.368,271.8390805,114.3030303,10.2
pax04_l02,pax04,dry,84.642,2.380,0.605,0.304,254.3697479,139.8116947,10.2
pax04_l03,pax04,dry,76.995,1.910,0.458,0.245,240,167.9646597,10.2
pax04_l04,pax04,dry,88.905,2.650,0.699,0.316,263.6981132,127.2252433,10.2
pax04_l05,pax04,dry,64.224,2.030,0.546,0.348,268.817734,117.691039,10.2
pco01_l01,pco01,dry,30.178,0.720,0.238,0.244,330.4166667,126.8516183,13.8
pco01_l02,pco01,dry,26.522,0.710,0.240,0.268,337.6056338,110.6466416,13.8
pco01_l03,pco01,dry,29.503,0.870,0.281,0.296,322.9885057,104.9928826,13.8
pco01_l04,pco01,dry,36.779,1.180,0.386,0.294,326.8644068,95.35649468,13.8
pco01_l05,pco01,dry,29.740,0.740,0.225,0.261,303.3783784,132.4721604,13.8
pco02_l01,pco02,wet,40.147,1.140,0.412,0.272,360.9649123,97.56257594,23.8
pco02_l02,pco02,wet,88.809,3.360,1.261,0.353,375.3571429,70.41627022,23.8
pco02_l03,pco02,wet,59.518,1.840,0.648,0.276,352.0108696,91.8913077,23.8
pco02_l04,pco02,wet,74.586,2.450,0.871,0.277,355.6734694,85.59329814,23.8
pco02_l05,pco02,wet,40.471,1.100,0.401,0.262,364.5454545,100.925187,23.8
pco03_l01,pco03,dry,54.249,1.790,0.649,0.316,362.2905028,83.65304549,20.3
pco03_l02,pco03,dry,45.653,1.530,0.545,0.318,356.0784314,83.79772394,20.3
pco03_l03,pco03,dry,29.050,0.960,0.338,0.316,351.6666667,86.0485782,20.3
pco03_l04,pco03,dry,42.817,1.480,0.529,0.336,357.1621622,81.00075672,20.3
pco03_l05,pco03,dry,24.090,0.660,0.214,0.262,323.6363636,112.7808989,20.3
pec01_l01,pec01,dry,16.917,0.370,0.104,0.200,282.1621622,162.0402299,13.2
pec01_l02,pec01,dry,14.763,0.330,0.098,0.198,296.3636364,150.9509202,13.2
pec01_l03,pec01,dry,14.796,0.320,0.093,0.198,290.625,159.0967742,13.2
pec01_l04,pec01,dry,13.503,0.280,0.079,0.197,281.4285714,171.357868,13.2
pec01_l05,pec01,dry,13.986,0.300,0.083,0.190,276.3333333,168.7092883,13.2
pec02_l01,pec02,dry,28.321,0.620,0.229,0.256,370,123.4568439,6.2
pec02_l02,pec02,dry,26.771,0.790,0.207,0.233,262.0253165,129.3285024,6.2
pec02_l03,pec02,dry,24.662,0.590,0.197,0.248,333.220339,125.4425229,6.2
pec02_l04,pec02,dry,31.131,0.630,0.254,0.270,403.4920635,122.4665618,6.2
pec02_l05,pec02,dry,26.524,0.730,0.205,0.242,281.2328767,129.1962981,6.2
pec03_l01,pec03,dry,19.893,0.430,0.126,0.258,292.7906977,158.0063542,18.4
pec03_l02,pec03,dry,18.517,0.400,0.131,0.233,328.5,140.9208524,18.4
pec03_l03,pec03,dry,21.482,0.490,0.144,0.232,293.0612245,149.5961003,18.4
pec03_l04,pec03,dry,17.132,0.400,0.125,0.227,311.25,137.6064257,18.4
pec03_l05,pec03,dry,16.525,0.380,0.114,0.215,300.2631579,144.8290973,18.4
pec04_l01,pec04,dry,17.078,0.460,0.155,0.239,336.3043478,110.3943116,21.1
pec04_l02,pec04,dry,14.124,0.390,0.134,0.244,344.1025641,105.2459016,21.1
pec04_l03,pec04,dry,16.378,0.470,0.156,0.255,331.2765957,105.1894669,21.1
pec04_l04,pec04,dry,16.891,0.510,0.175,0.265,343.9215686,96.29988597,21.1
pec04_l05,pec04,dry,17.633,0.580,0.198,0.273,341.3793103,89.05555556,21.1
rci01_l01,rci01,dry,22.502,0.560,0.273,0.235,488.0357143,82.33443103,21.9
rci01_l02,rci01,dry,20.936,0.440,0.213,0.203,485,98.10684161,21.9
rci01_l03,rci01,dry,19.108,0.400,0.191,0.186,476.25,100.3044619,21.9
rci01_l04,rci01,dry,21.606,0.480,0.240,0.213,499.7916667,90.06252605,21.9
rci01_l05,rci01,dry,18.381,0.390,0.186,0.198,476.9230769,98.82258065,21.9
tfl01_l01,tfl01,wet,35.287,1.180,0.471,0.276,399.1525424,74.91932059,11.5
tfl01_l02,tfl01,wet,52.765,1.720,0.737,0.281,428.1976744,71.64290563,11.5
tfl01_l03,tfl01,wet,49.993,1.500,0.581,0.248,387.2666667,86.06128421,11.5
tfl01_l04,tfl01,wet,33.205,0.990,0.392,0.257,395.5555556,84.79315628,11.5
tfl01_l05,tfl01,wet,43.061,1.300,0.533,0.253,410.0769231,80.77471394,11.5
tfl02_l01,tfl02,wet,27.746,0.710,0.257,0.222,362.5352113,107.7933178,6.2
tfl02_l02,tfl02,wet,37.980,0.970,0.317,0.223,327.1134021,119.6974472,6.2
tfl02_l03,tfl02,wet,30.334,0.800,0.285,0.240,355.75,106.5846803,6.2
tfl02_l04,tfl02,wet,17.497,0.440,0.155,0.209,351.8181818,113.0297158,6.2
tfl02_l05,tfl02,wet,50.996,1.330,0.438,0.220,329.4736842,116.376084,6.2
twa01_l01,twa01,dry,74.088,1.330,0.336,0.161,252.7819549,220.3688281,7.5
twa01_l02,twa01,dry,76.844,1.460,0.419,0.167,286.7123288,183.5738175,7.5
twa01_l03,twa01,dry,77.319,1.360,0.360,0.162,264.4117647,215.0139043,7.5
twa01_l04,twa01,dry,81.638,1.500,0.404,0.168,269.2,202.1743437,7.5
twa01_l05,twa01,dry,58.184,1.050,0.390,0.162,370.952381,149.381258,7.5
twa02_l01,twa02,dry,23.706,0.530,0.207,0.204,389.8113208,114.7434656,15.2
twa02_l02,twa02,dry,30.320,0.570,0.221,0.179,387.5438596,137.2566772,15.2
twa02_l03,twa02,dry,35.687,0.760,0.321,0.194,422.5,111.1398318,15.2
twa02_l04,twa02,dry,24.416,0.520,0.202,0.192,388.6538462,120.8114795,15.2
twa02_l05,twa02,dry,22.962,0.430,0.150,0.173,347.6744186,153.5919732,15.2
twa03_l01,twa03,dry,66.969,1.180,0.324,0.145,274.1525424,207.0139104,7.4
twa03_l02,twa03,dry,58.812,1.130,0.338,0.158,299.2035398,173.9485359,7.4
twa03_l03,twa03,dry,71.076,1.300,0.387,0.152,297.3846154,183.8489395,7.4
twa03_l04,twa03,dry,54.915,0.970,0.288,0.154,297.0103093,190.610899,7.4
twa03_l05,twa03,dry,46.386,0.900,0.283,0.161,314.4444444,163.9081272,7.4
tfl03_l01,tfl03,wet,46.567,0.5873,0.218,0.273,371.1901924,213.6100917,6
tfl03_l02,tfl03,wet,32.243,1.0668,0.4621,0.278,433.1646044,69.77494049,6
tfl03_l03,tfl03,wet,52.714,1.4403,0.6407,0.319,444.837881,82.27563602,6
tfl03_l04,tfl03,wet,57.728,1.5653,0.6751,0.266,431.2911263,85.51029477,6
tfl03_l05,tfl03,wet,59.297,1.7452,0.679,0.278,389.0671556,87.32989691,6
bbr02_l01,bbr02,wet,58.355,1.8065,0.5931,0.303,328.3144201,98.38981622,6
bbr02_l02,bbr02,wet,42.896,1.7128,0.5578,0.355,325.6655768,76.90211545,6
bbr02_l03,bbr02,wet,53.394,2.1406,0.7339,0.366,342.8477997,72.75378117,6
bbr02_l04,bbr02,wet,69.503,2.8202,0.9552,0.362,338.699383,72.76277219,6
bbr02_l05,bbr02,wet,89.442,2.8421,0.7467,0.336,262.7282643,119.7830454,6
pax05_l01,pax05,wet,0.000,1.5312,0.6046,0.390,394.8537095,0,25
pax05_l02,pax05,wet,0.000,1.6381,0.6775,0.423,413.588914,0,25
pax05_l03,pax05,wet,0.000,1.4039,0.6012,0.395,428.2356293,0,25
pax05_l04,pax05,wet,0.000,1.5571,0.6528,0.430,419.2408965,0,25
pax05_l05,pax05,wet,0.000,1.8907,0.7752,0.359,410.0068758,0,25
gne01_l01,gne01,dry,33.590,0.5391,0.2461,0.306,456.5015767,136.489232,13.5
gne01_l02,gne01,dry,52.207,0.9242,0.3959,0.339,428.3704826,131.8691589,13.5
gne01_l03,gne01,dry,76.366,1.5817,0.6483,0.374,409.8754505,117.7942311,13.5
gne01_l04,gne01,dry,44.126,0.8356,0.3776,0.328,451.8908569,116.8591102,13.5
gne01_l05,gne01,dry,75.000,1.298,0.5739,0.324,442.1417565,130.6847883,13.5
pec05X_l01,pec05,wet,24.880,0.5611,0.1984,0.208,353.5911602,125.4032258,9.2
pec05X_l02,pec05,wet,23.011,0.4845,0.1633,0.210,337.0485036,140.9124311,9.2
pec05X_l03,pec05,wet,20.265,0.4217,0.1374,0.204,325.8240455,147.489083,9.2
pec05X_l04,pec05,wet,21.046,0.4696,0.1591,0.221,338.7989779,132.2815839,9.2
pec05X_l05,pec05,wet,21.466,0.459,0.1664,0.207,362.5272331,129.0024038,9.2
ppo04_l01,ppo04,dry,225.168,4.6,2.12,0.192,460.8695652,106.2113208,5.4
ppo04_l02,ppo04,dry,145.593,3.04,1.41,0.194,463.8157895,103.2574468,5.4
ppo04_l03,ppo04,dry,198.457,4.06,1.97,0.193,485.2216749,100.7395939,5.4
ppo04_l04,ppo04,dry,220.309,4.71,2.31,0.233,490.4458599,95.37186147,5.4
ppo04_l05,ppo04,dry,215.070,4.99,2.47,0.227,494.98998,87.07287449,5.4
ema04_l01,ema04,dry,10.966,0.2607,0.1356,0.212,520.1380898,80.87020649,12.6
ema04_l02,ema04,dry,15.550,0.3765,0.1975,0.220,524.5683931,78.73417722,12.6
ema04_l03,ema04,dry,17.191,0.4503,0.2354,0.243,522.7626027,73.028887,12.6
ema04_l04,ema04,dry,20.640,0.5327,0.2667,0.226,500.6570302,77.39032621,12.6
ema04_l05,ema04,dry,23.235,0.5455,0.2785,0.222,510.5407883,83.42908438,12.6
ema05_l01,ema05,dry,11.102,0.2714,0.1448,0.222,533.5298452,76.67127072,10
ema05_l02,ema05,dry,11.871,0.2807,0.1433,0.207,510.5094407,82.84019539,10
ema05_l03,ema05,dry,20.841,0.4494,0.228,0.194,507.3431242,91.40789474,10
ema05_l04,ema05,dry,22.676,0.5091,0.2546,0.203,500.0982125,89.06520031,10
ema05_l05,ema05,dry,24.368,0.5489,0.2801,0.203,510.2933139,86.99750089,10
kma01_l01,kma01,dry,32.462,0.6449,0.2698,0.157,418.3594356,120.3187546,44
